temperature,2.3604782259904e-310,1
temperature,12.96,1
umidità,2.37035722076702e-310,2
umidità,84,2
sound,54.2,4
umidade,71.65,2
temperature,-42.96,1
umidità,77.42,2
temperature,19.35,1
temperature,18.9,1
luminous,0,3
temperature,25.54,1
light,8181.29,3
umidade,74.36,2
temperature,16.38,1
som,70.2,4
lux,3849.61,3
som,50,4
noise,53.8,4
som,2.3604782259904e-310,4
light,129.49,3
relativeHumidity,200,2
temperature,15.74,1
umidade,77,2
som,50,4
lux,2186.07,3
temperature,2.3604782259904e-310,1
umidità,80,2
light,2294.25,3
temperature,15.16,1
temperature,16.19,1
sound,50,4
light,0,3
temperature,10.51,1
temperature,15.93,1
luminousFlux,2.27,3
temperature,24.51,1
sound,50,4
sound,50,4
luz,0,3
luminous,4935.06,3
temperature,26.19,1
Humidity,71.65,2
Humidity,77.97,2
light,836.71,3
temperature,16.7,1
umidità,68,2
temperature,7.22,1
temperature,14.58,1
sonido,58.6,4
sound,50,4
sonido,62.2,4
temperature,16,1
noise,50,4
noise,2.3604782259904e-310,4
temperature,-49.61,1
sonido,66.1,4
umidità,89,2
luminousFlux,0,3
sound,52.5,4
noise,73.1,4
luz,4005.72,3
temperature,14.96,1
temperature,-42.45,1
sound,2.3604782259904e-310,4
umidità,54,2
luz,0,3
luminousFlux,0,3
sound,50,4
temperature,20.06,1
Humidity,2.37035722076702e-310,2
luz,369.73,3
luminousFlux,0,3
umidità,77,2
noise,50,4
noise,2.3604782259904e-310,4
sonido,64.7,4
temperature,15.67,1
umidade,75.99,2
temperature,10.83,1
luminousFlux,2450.15,3
lux,0,3
luz,0,3
temperature,8.83,1
temperature,21.16,1
temperatura,16.06,1
relativeHumidity,89,2
temperature,19.87,1
luminousFlux,171.16,3
temperature,20.95,1
light,931.02,3
temp,9.54,1
lux,0.38,3
umidità,77.97,2
temperature,14.9,1
temperature,15.29,1
temperature,16.7,1
sonido,70.2,4
luminousFlux,1211.64,3
umidità,72,2
temperature,2.3604782259904e-310,1
umidità,47,2
relativeHumidity,70,2
temp,19.54,1
luminousFlux,2.3604782259904e-310,3
temperature,16.45,1
sound,51.3,4
temperature,17.29,1
luminousFlux,13571.66,3
lux,0.39,3
relativeHumidity,46,2
luminousFlux,0,3
luminousFlux,7559.79,3
temperature,14.9,1
temperatura,19.67,1
umidade,81,2
sound,53.8,4
luminousFlux,0,3
light,21059.2,3
temp,16.83,1
temperature,16.45,1
temperatura,14.45,1
umidità,76.46,2
umidità,200,2
temperature,13.61,1
temperature,16.77,1
relativeHumidity,47,2
