temperatura,20.06,1
temperature,20,1
sound,71.3,4
temp,-50,1
usdon,136.69,0
luminous,0,3
umidità,78.08,2
umidità,89,2
temperature,33.35,1
luminous,0,3
sound,71.2,4
Humidity,71.65,2
temperature,25.67,1
temperature,26.25,1
light,2.3604782259904e-310,3
umidità,74.36,2
relativeHumidity,69,2
temperatura,9.93,1
lux,0,3
luminous,0,3
luminous,4935.06,3
luz,0,3
sonido,2.3604782259904e-310,4
temperature,9.93,1
temperature,24.25,1
luminousFlux,1.9,3
relativeHumidity,31,2
temperature,10,1
temperature,16,1
temperature,15.48,1
umidità,76.46,2
Humidity,91.89,2
eteautrrpem,120.78,0
light,2.3604782259904e-310,3
relativeHumidity,200,2
lux,0,3
sound,71.2,4
luz,18.05,3
sound,50,4
light,0,3
temperature,16,1
mpuetertare,63.79,0
temperature,13.09,1
luminous,66.14,3
light,4.23,3
Humidity,86.05,2
temperature,19.29,1
luminousFlux,24910.76,3
sound,50,4
temperature,13.61,1
mluuFoixlsnu,78.21,0
luz,0,3
temperature,104.32,1
temperature,18.77,1
Humidity,87.17,2
umidità,200,2
mFisxonuluul,90.13,0
temperature,2.3604782259904e-310,1
light,3183.23,3
noise,50,4
sound,70.2,4
temp,-26.77,1
lux,2186.07,3
temperature,9.09,1
sound,100,4
temperature,-32.96,1
luminous,0,3
sonido,53.8,4
sonido,51.3,4
luz,0,3
umlouixlFuns,98.33,0
lux,2.14,3
luminousFlux,8.73,3
lux,1.35,3
temperature,14.58,1
Humidity,83.29,2
temperature,15.87,1
temperature,12.06,1
light,0,3
luminous,0,3
sound,50,4
sound,2.3604782259904e-310,4
light,42819.9,3
temp,15.67,1
lux,0,3
umidità,41,2
luminousFlux,2450.15,3
luminousFlux,0,3
noise,50,4
luminousFlux,0,3
umidade,76.46,2
temperature,18.32,1
luminousFlux,6347.26,3
temperature,2.3604782259904e-310,1
temperature,13.22,1
temperature,16.38,1
temperature,12.83,1
luz,0,3
luminousFlux,0,3
temperature,16.32,1
noise,2.3604782259904e-310,4
tpmaeteurre,36.08,0
temperature,64.06,1
sonido,53.8,4
sound,58,4
sound,2.3604782259904e-310,4
temperature,10.32,1
lux,3849.61,3
Humidity,77.97,2
umidità,55,2
luminousFlux,1569.78,3
sound,50,4
luminousFlux,0,3
umidità,69,2
luminousFlux,0,3
temperature,10.51,1
temperature,15.67,1
umidità,42,2
temperature,20.32,1
light,0,3
eeurtrtmaep,66.41,0
luminous,1.6,3
light,280.15,3
sound,50,4
noise,50,4
luminousFlux,0,3
luminousFlux,0,3
lnuiuxousFlm,54.66,0
sonido,50,4
light,13130.62,3
sonido,2.3604782259904e-310,4
